name,team,teamSlug,role,pma,pfc,pmaRange,pfcRange,slot,expectedTitolarita,expectedFantamedia,roleMantra,idFantacalcio,lastThreeYearTitolarity,lastFiveYearVotoBase,lastFiveYearFantamedia,lastFiveYearTitolarity,lastYearVotoBase,lastYearFantamedia,lastYearTitolarity,lastFiveMatchesVotoBase,lastFiveMatchesFantamedia,lastFiveMatchesTitolarity,currentSeasonVotoBase,currentSeasonFantamedia,currentSeasonTitolarity,playerStatus,penaltyProbability,freeKickProbability,unavailableUntilRound,fasciaFc,fasciaFr,svinc,commentoFr,africaUntilRound,position,modulo,coach,commentoFrTeam,rientroIncerto,newArrival,calciomercato,updatedAt,dpfcpma
TAVARES N.,Lazio,LAZ,D,7,1,5-10,1-2,8,52,"6,04",,5620,0,0,0,0,"5,91","5,8","5789,47",0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"25,5","Senza infortuni sarebbe un top di reparto e un titolare inamovibile sia nella Lazio che nelle vostre rose. Purtroppo non ha continuità a livello fisico, per questo si può prendere a cifre basse per gli ultimi slot. Quando sta bene è devastante, ma il rischio di averlo poco a disposizione è molto alto.",0,5,0, , ,FALSE,FALSE,"Non convocato in Coppa Italia, vicino al ritorno in Portogallo",2026-08-20T09:36:19.000Z,-6
SOHM,Venezia,VEN,C,3,1,3-4,1-2,8,92,"5,96",,5319,0,0,0,0,"5,65","5,62","6315,79",0,0,0,0,0,0,T,0,0,0,TitLowCost,TitLowCost,"46,5", ,0,8,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-2
DELE-BASHIRU,Lazio,LAZ,C,"2,9",1,2-4,1-2,7,76,"6,37",,6629,0,0,0,0,"5,69","5,83","5526,32",0,0,0,0,0,0,P,0,0,0,TitLowCost,TitLowCost,"59,4", ,0,6,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-2
PAVLOVIC,Milan,MIL,D,"46,5","52,7",42-52,40-66,1,92,"6,38",,5022,0,0,0,0,"6,24","6,62","8947,37",0,0,0,0,0,0,T,0,0,0,Semi-Top,Semi-Top,0,"Nella passata stagione è stato uno dei difensori più prolifici in Serie A, collezionando tante ottime prestazioni. Il dubbio che però giocando con una linea difensiva più alta possa creargli problemi esiste. State attenti quindi a valutarlo solamente in base alla passata stagione e esaminate il contesto in cui si troverà quest'anno.",0,4,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,6
MIRANDA J.,Bologna,BOL,D,"25,8","29,8",23-30,23-38,3,92,"6,21",,4734,0,0,0,0,6,"6,1","8157,89",0,0,0,0,0,0,T,0,10,0,OttimoTit,OttimoTit,"0,2","Terzino molto propositivo, che nel calcio voluto da Tedesco potrebbe essere ancora più propenso al bonus. Nella scorsa stagione 1 gol e 3 assist in 32 partite, ma anche 6 cartellini gialli. Quest'anno però potrebbe davvero essere molto interessante.",0,5,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,4
COCO,Torino,TOR,D,"7,2","3,5",6-10,3-5,7,88,"6,04",,6642,0,0,0,0,"5,84","5,91","9210,53",0,0,0,0,0,0,T,0,0,0,TitLowCost,TitLowCost,"4,2", ,0,4,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-3
DELPRATO,Parma,PAR,D,"19,2","10,4",17-23,8-13,6,92,"6,07",,6664,0,0,0,0,"5,91","6,01","9210,53",0,0,0,0,0,0,T,0,0,0,TitLowCost,TitLowCost,0,È il capitano. Giocatore affidabile e sempre tra gli ultimi a mollare. Può giocare sia da centrale che da esterno. Cuesta non se ne priva praticamente mai. Ottimo per completare il reparto a cifre basse.,0,2,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-9
GASPAR K.,Lecce,LEC,D,"4,1",1,3-6,1-2,8,80,"6,04",,6632,0,0,0,0,"5,83","5,64","5526,32",0,0,0,0,0,0,P,0,0,0,TitLowCost,TitLowCost,"22,8","Gaspar è un pilastro della difesa del Lecce, spesso è stato infortunato nella passata stagione. Ora però è tornato a disposizione ed è uno slot perfetto dal sesto in giù.",0,3,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-3
ELLERTSSON,Genoa,GEN,C,"3,3","4,3",3-5,4-6,7,86,"6,33",,6020,0,0,0,0,"5,84","5,91","9210,53",0,0,0,0,0,0,B,0,20,0,TitLowCost,TitLowCost,"43,9", ,0,8,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,1
FELICI,Cagliari,CAG,C,"2,3",1,2-3,1-2,8,52,"6,15",,6640,0,0,0,0,"6,05","6,55","2894,74",0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,"83,4", ,0,9,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-1
PALEARI,Torino,TOR,P,"6,9","15,7",4-11,12-20,2,82,"5,02",,5320,0,0,0,0,"6,09","4,52","7631,58",0,0,0,0,0,0,T,0,0,0,TitLowCost,TitLowCost,"21,9", ,0,1,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,9
MARCANDALLI,Genoa,GEN,D,"9,6","3,8",8-13,3-5,7,92,"6,02",,6660,0,0,0,0,"5,87","5,84","8157,89",0,0,0,0,0,0,T,0,0,0,TitLowCost,TitLowCost,"2,8", ,0,2,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-6
GOLDANIGA,Como,COM,D,"1,7",1,2-2,1-2,8,59,"5,94",,418,0,0,0,0,0,0,0,0,0,0,0,0,0,P,0,0,0,Riserva,Riserva,98, ,0,4,0, , ,FALSE,FALSE,,2026-08-20T09:36:19.000Z,-1
